Genes,1st DBT,Healthy control,pre DBT,kruskal_fdr,1st DBT_percentage,healthy_control_vs_pre_DBT_group,1st_DBT_vs_pre_DBT_group,label,HPA specific annotation
F13A1,-0.34183824524376993,0.27414566424607634,0.01169404377135318,0.205814823570191,1.0,0.26245162047472315,-0.3535322890151231,HML,
F13B,-0.2856454401847167,0.13490896218518766,0.112504259602269,0.5297470448158454,1.0,0.02240470258291867,-0.3981496997869857,HML,Liver
F2,-0.2625331783826549,0.4466512632758799,-0.24858939777127018,0.03431025869386731,1.0,0.6952406610471501,-0.01394378061138471,HML,Liver
F5,0.3372673903774773,-0.3721988522489155,0.09942839301928973,0.13728827040413377,1.0,-0.47162724526820526,0.2378389973581876,LMH,
F9,0.026960329758735423,-0.21851195699420453,0.23525401863430204,0.1624314007600041,1.0,-0.45376597562850657,-0.20829368887556662,LHL,Liver
FBLN1,0.10384677120793144,0.019405690074330916,-0.11557599936102908,0.8531247931018908,1.0,0.13498168943535999,0.21942277056896053,HLH,
FCGR3A,0.6401193063439414,-0.5055262815007386,-0.019074729579747682,0.007672768122316604,0.9,-0.48645155192099093,0.6591940359236891,LMH,
FCN3,-0.1082968794057709,0.4097664425368617,-0.34856622876222426,0.08249613338284065,1.0,0.7583326712990859,0.24026934935645336,HLH,
FETUB,-0.4157518580644803,0.6101536200147598,-0.28766589632110606,0.0040765749711248415,1.0,0.8978195163358659,-0.12808596174337422,HML,Liver
FGA,0.7992464817012439,-0.6307045284501119,-0.03854640687372333,3.069047625919523e-05,1.0,-0.5921581215763886,0.8377928885749673,LMH,Liver
FGB,0.6364424897574404,-0.37953522856636535,-0.16454565043440425,0.0011403366012835276,1.0,-0.2149895781319611,0.8009881401918447,LMH,Liver
FGG,0.6891264414839353,-0.41698119278848883,-0.17159000921613798,0.0008407974333084322,1.0,-0.24539118357235085,0.8607164507000733,LMH,Liver
FN1,0.18198483531631118,0.21571406020862974,-0.4007651886969708,0.11360960418437992,1.0,0.6164792489056006,0.582750024013282,HLH,
Fibrinogen,0.7046157347459288,-0.5237512692701111,-0.06919473783797231,0.0004969017348597232,1.0,-0.45455653143213876,0.773810472583901,LMH,
GALE,0.15792296874075681,-0.4261249468425156,0.34001686856518487,0.16477160631675938,0.95,-0.7661418154077004,-0.18209389982442806,LHL,
GC,-0.2299116011715551,-0.09302003671022598,0.3104869502034696,0.12352337138654625,1.0,-0.4035069869136956,-0.5403985513750247,LHL,Liver
GGH,0.23864084574921168,-0.13461103380928896,-0.069938262547185,0.6081965010557716,0.9,-0.06467277126210395,0.3085791082963967,LMH,
GP1BA,-0.2188942164043534,0.46029415509411153,-0.36134546780476723,0.03544508105877765,0.85,0.8216396228988787,0.14245125140041384,HLH,Blood and immune system
GPLD1,-0.45481336179040854,0.42575110446058934,-0.0509890577839176,0.07970917207074626,1.0,0.47674016224450694,-0.40382430400649094,HML,Liver
GPX3,-0.06787099599823218,0.29532151907062737,-0.26046802444228595,0.37506077926339726,1.0,0.5557895435129133,0.19259702844405377,HLH,
GSN,-0.3248393204430768,0.35482757209616506,-0.09177615097483889,0.1361526702090242,1.0,0.44660372307100393,-0.2330631694682379,HML,
HABP2,0.4092801576992849,-0.3024299398649344,-0.04214929987396725,0.10483064264775918,1.0,-0.2602806399909671,0.45142945757325215,LMH,Liver
HBA1,-0.6013787704823285,0.8238319855832495,-0.3520178292886977,0.0001577481999035536,1.0,1.1758498148719472,-0.24936094119363078,HML,Blood and immune system
HBB,-0.6345136960892994,0.8262648905790376,-0.32454924782323535,0.0001577481999035536,1.0,1.150814138402273,-0.30996444826606406,HML,Blood and immune system
HBD,-0.6594793662252181,0.786424256148398,-0.25839067377533503,0.00014689767327627425,1.0,1.044814929923733,-0.40108869244988304,HML,Blood and immune system
HES7,-0.1233833437466153,0.27738863635261035,-0.10217908832101252,0.5191144183085388,1.0,0.3795677246736229,-0.02120425542560278,HML,
HGFAC,-0.44428068490804956,0.1991102279066749,0.1866803740182167,0.059702966588280684,1.0,0.012429853888458214,-0.6309610589262662,HML,Liver
HP,0.19596560388850265,-0.22726285514295555,0.06977256571185456,0.02052819767733796,1.0,-0.2970354208548101,0.1261930381766481,LMH,Liver
HPR,0.01117875222378666,-0.04125955578014117,0.034847922465801776,0.9161856861304147,1.0,-0.07610747824594294,-0.023669170242015116,LHL,Liver
HPX,0.24801780446440175,-0.23633679414893946,0.03235122592212955,0.36113806608191573,1.0,-0.268688020071069,0.2156665785422722,LMH,Liver
HRG,-0.36085980989097316,0.07777404855734793,0.2432099560201587,0.215453511643755,1.0,-0.16543590746281078,-0.6040697659111318,LHL,Liver
HSPG2,0.05998882766213115,-0.3107107245906208,0.3128640418466124,0.32746432926193936,1.0,-0.6235747664372332,-0.2528752141844812,LHL,
ICAM2,-0.26752371738362185,-0.05036871819225744,0.2859909030410441,0.25815399916409326,0.95,-0.33635962123330154,-0.5535146204246659,LHL,
IGFALS,-0.3738455288171099,0.41399204535621803,-0.11176811419122547,0.03544508105877765,1.0,0.5257601595474435,-0.26207741462588446,HML,Liver
IGHA1,0.5307571607717486,-0.5861023771041206,0.1568779015938322,0.0018824015718563946,1.0,-0.7429802786979528,0.3738792591779164,LMH,
IGHA2,0.4279089162788889,-0.43556638192029623,0.0861552200231551,0.03544508105877765,1.0,-0.5217216019434513,0.3417536962557338,LMH,
IGHD,0.009190306311721422,0.018690349153720805,-0.030848065149206922,0.9876708315583879,0.85,0.04953841430292773,0.04003837146092834,HLH,
IGHG1,0.07344286821116311,-0.14112945007145125,0.08719315624963113,0.5049626860437207,1.0,-0.22832260632108237,-0.01375028803846802,LHL,
IGHG2,0.35597321611763605,-0.28703700148296635,-0.010480740307345698,0.18753878069871507,1.0,-0.27655626117562065,0.36645395642498174,LMH,
IGHG3,0.37333454377234265,-0.2552902421218958,-0.06089659384187646,0.17299283972657292,1.0,-0.19439364828001937,0.4342311376142191,LMH,
IGHG4,0.13439235230533675,-0.08096798857391556,-0.03384615092421894,0.8531247931018908,1.0,-0.047121837649696616,0.1682385032295557,LMH,
IGHM,0.20896640044326578,-0.29034717742856625,0.12677292042818422,0.4596619714518048,1.0,-0.41712009785675047,0.08219348001508156,LMH,
IGHV1-18,0.13793979363499165,-0.021461372039252746,-0.10198740653444309,0.7524892982504944,1.0,0.08052603449519034,0.23992720016943475,HLH,
IGHV1-24,0.3734566811501297,-0.4922365838198942,0.13090736831169186,0.048461246210244516,0.95,-0.623143952131586,0.24254931283843784,LMH,
IGHV1-3,0.1510188397391029,0.2558651992291024,-0.3698945808802146,0.23248222112524658,1.0,0.625759780109317,0.5209134206193176,HLH,
IGHV1-46,0.3151555484444423,-0.25817680494164563,-0.004857620467701895,0.41037984551681955,1.0,-0.25331918447394375,0.3200131689121442,LMH,
IGHV1-69,0.2948732064562367,-0.24288619885344787,-0.03299428276175123,0.4276732097877839,0.9,-0.20989191609169663,0.3278674892179879,LMH,
IGHV1-69D,0.14455517373486146,-0.23697000458208936,0.08728067357793723,0.4638261791431024,0.85,-0.3242506781600266,0.05727450015692423,LMH,
IGHV1-8,0.27393086919264836,-0.11856269037015144,-0.08715536992467199,0.35499682682759537,0.8,-0.03140732044547945,0.36108623911732035,LMH,
IGHV2-26,0.33021605322981623,-0.3873404027450088,0.07751068650177398,0.16343376589874645,0.95,-0.46485108924678276,0.2527053667280422,LMH,
IGHV2-70D,-0.04636483567131612,0.15417527017537114,-0.09583149733693853,0.7766320913827898,0.8,0.25000676751230966,0.04946666166562241,HLH,
IGHV3-15,0.24250480917579717,-0.28364651631892346,0.0889736458244569,0.32746432926193936,1.0,-0.37262016214338034,0.15353116335134026,LMH,
IGHV3-38,0.05884295523566542,-0.4388075366884068,0.4252055352640279,0.0287711916672241,1.0,-0.8640130719524346,-0.3663625800283625,LHL,
IGHV3-49,0.15142733022915342,-0.06757383306415775,-0.06394430050198813,0.8220952331689309,1.0,-0.003629532562169621,0.21537163073114154,LMH,
IGHV3-64,-0.009525257092756633,0.3299893700350793,-0.32182486395558735,0.27641490863234874,0.9,0.6518142339906666,0.3122996068628307,HLH,
IGHV3-64D,-0.045334429889525976,0.25565418687196695,-0.23768235850620112,0.42207754808011133,1.0,0.49333654537816807,0.19234792861667516,HLH,
IGHV3-7,-0.04322645551580254,-0.08109189472879216,0.12776066290029772,0.7524892982504944,1.0,-0.20885255762908989,-0.17098711841610026,LHL,
IGHV3-74,0.3044736544902231,-0.3362211846615722,0.08999251554877136,0.205814823570191,1.0,-0.42621370021034355,0.21448113894145177,LMH,
IGHV4-28,0.1888968595341753,0.18089146923604396,-0.3789483670279825,0.4276732097877839,0.8,0.5598398362640264,0.5678452265621579,HLH,
IGHV5-10-1,0.21774778881948056,-0.17260943845526858,0.018437824994358486,0.6991137474893013,0.8,-0.19104726344962705,0.1993099638251221,LMH,
IGHV5-51,0.16659421900221494,-0.24042092206496637,0.11082807952339381,0.32746432926193936,1.0,-0.3512490015883602,0.05576613947882113,LMH,
IGHV6-1,0.2348639164014024,-0.33500572635204345,0.14544494304797537,0.32974663849218677,0.9,-0.4804506694000188,0.08941897335342702,LMH,
IGKC,0.216544303422689,-0.34724638779994965,0.18195578357931919,0.16477160631675938,1.0,-0.5292021713792688,0.0345885198433698,LMH,
IGKV1-16,0.19734480652097663,-0.3424096375462787,0.19413341684959579,0.08839550005117768,1.0,-0.5365430543958745,0.0032113896713808487,LMH,
IGKV1-17,-0.03062823996530963,0.20361952657716428,-0.194286538115722,0.6594963951615257,1.0,0.39790606469288625,0.16365829815041236,HLH,
IGKV1-5,0.6249740579507648,-0.5850537397430733,0.07008220885538896,0.0040765749711248415,1.0,-0.6551359485984622,0.5548918490953758,LMH,
IGKV1-8,0.1287579355152996,0.11267990750841832,-0.23291808046358942,0.36065851830319967,0.75,0.34559798797200775,0.361676015978889,HLH,
IGKV1D-16,0.15139338110061376,-0.001289517361877133,-0.1499104361344729,0.7970895981807367,1.0,0.14862091877259578,0.3013038172350867,HLH,
IGKV3-20,0.4235730995432589,-0.539009793271967,0.20294422943917406,0.010551709541546564,1.0,-0.741954022711141,0.22062887010408483,LMH,
IGKV3-7,0.3014678946253241,-0.4196842743902769,0.18377566785730962,0.062253767257576816,1.0,-0.6034599422475865,0.11769222676801447,LMH,
IGKV3D-15,0.4434229703368139,-0.35749325192008796,-0.013119152756999314,0.13497303022697804,1.0,-0.34437409916308864,0.4565421230938132,LMH,
IGKV3D-20,0.35105174719641985,-0.35999237279606144,0.07358100014439843,0.04937641917335643,1.0,-0.4335733729404599,0.2774707470520214,LMH,
IGKV4-1,0.23300373567905286,-0.027197219958747836,-0.18215188338958502,0.5594526847938156,1.0,0.1549546634308372,0.41515561906863785,HLH,
IGKV6-21,-0.15840881847741736,0.16011891749410254,-0.055197078115828205,0.4462187722667303,0.8,0.21531599560993075,-0.10321174036158916,HML,
IGLC7,0.1306010486604324,0.2314251954606031,-0.3836799185740615,0.6519329361574759,0.9,0.6151051140346646,0.5142809672344939,HLH,
IGLL1,0.7102436614392961,-0.36689005378097067,-0.24543236082011932,0.0037607183522615907,1.0,-0.12145769296085135,0.9556760222594154,LMH,
IGLL5,0.04279071610545314,-0.10893728732541381,0.07994002607731175,0.7766320913827898,1.0,-0.18887731340272557,-0.03714930997185861,LHL,
IGLV1-36,0.2184752714759473,-0.45759959985865967,0.2987914058139385,0.07905926530343199,0.9,-0.7563910056725982,-0.08031613433799117,LHL,
IGLV1-40,0.5068872024724757,-0.801912778606084,0.30511422500689606,0.0008446115433558869,0.95,-1.1070270036129801,0.2017729774655796,LMH,
IGLV1-47,0.3407165193448195,-0.27874939207509813,-0.005652044413365569,0.22974898634280905,1.0,-0.27309734766173255,0.3463685637581851,LMH,
IGLV1-51,0.43291157303466105,-0.5584844770706958,0.2156998176819658,0.005436284554779191,1.0,-0.7741842947526616,0.21721175535269524,LMH,
IGLV2-11,0.10366692828541169,0.004677559508543266,-0.09934545426878881,0.8783905506175882,1.0,0.10402301377733207,0.2030123825542005,HLH,
IGLV2-18,0.33667353876741124,-0.34827492053428905,0.0738694235215724,0.16477160631675938,1.0,-0.42214434405586143,0.26280411524583885,LMH,
IGLV3-21,0.024691358021779686,-0.073726436946309,0.057982151194368496,0.9313281316631854,1.0,-0.13170858814067748,-0.03329079317258881,LHL,
IGLV3-9,0.14606647155483862,-0.28447023777839675,0.18332011955699015,0.42207754808011133,0.95,-0.4677903573353869,-0.03725364800215153,LHL,
IGLV6-57,0.06048430849392618,-0.1928199575237394,0.15536330957685965,0.5908102514171204,1.0,-0.34818326710059905,-0.09487900108293347,LHL,
IGLV8-61,0.1538107764048083,-0.14375800228775268,0.013174951197710907,0.8508678737936557,0.9,-0.1569329534854636,0.1406358252070974,LMH,
ITIH1,-0.23779547715249455,0.11985901718696518,0.08542241502559585,0.43671423571778517,1.0,0.03443660216136933,-0.3232178921780904,HML,Liver
ITIH2,-0.12373893956756152,0.017025528099344586,0.09391664168034584,0.9045264324519923,1.0,-0.07689111358100126,-0.21765558124790735,LHL,Liver
ITIH3,0.49498286434244265,-0.5983400358748274,0.20275016246125122,0.0033561336810425313,1.0,-0.8010901983360786,0.29223270188119144,LMH,Liver
ITIH4,0.3832160785175508,-0.28999602654113515,-0.03201895151654998,0.25668786945651156,1.0,-0.25797707502458517,0.4152350300341008,LMH,Liver
JCHAIN,0.4977455912733695,-0.6945238257917571,0.3051663633425043,0.0016195747216786879,1.0,-0.9996901891342613,0.19257922793086518,LMH,
KLKB1,-0.10375080921208538,-0.07215562612653738,0.173034145967233,0.5908102514171204,1.0,-0.24518977209377035,-0.27678495517931834,LHL,Liver
KNG1,0.1746530775217453,0.0027978288815100317,-0.1618277019814075,0.8281938612050722,1.0,0.16462553086291754,0.3364807795031528,HLH,Liver
KRT1,0.08598499459565408,0.20124909834313517,-0.297712647824928,0.37506077926339726,1.0,0.4989617461680632,0.3836976424205821,HLH,Skin
KRT10,0.7875552561860957,-0.29350106431567347,-0.28680280866354607,0.048461246210244516,0.7,-0.006698255652127394,1.0743580648496418,LMH,Skin
KRT9,0.277458223140212,-0.09497181801182568,-0.1432832429018568,0.4276732097877839,0.85,0.04831142489003111,0.4207414660420688,HLH,
LBP,0.5469134118510668,-0.5780284225348843,0.13338245017345304,0.0012215524969269736,1.0,-0.7114108727083374,0.4135309616776137,LMH,Liver
LCAT,-0.2192997154784322,0.4309476540033939,-0.2707613357506023,0.06938652785276657,1.0,0.7017089897539962,0.051461620272170105,HLH,
LCP1,0.4372613400649308,-0.23474413436640243,-0.1414257989320407,0.38131540785407636,1.0,-0.09331833543436172,0.5786871389969714,LMH,
LGALS3BP,0.44917159859307365,-0.5208003290998086,0.15980799666063944,0.011318083154378638,1.0,-0.680608325760448,0.2893636019324342,LMH,
LPA,0.22098371070034445,-0.23036713062664982,0.052816043858699875,0.6744118053347201,1.0,-0.2831831744853497,0.16816766684164458,LMH,Liver
LRG1,0.48890182000857135,-0.6662442951378007,0.2823557583243557,0.0011403366012835276,1.0,-0.9486000534621564,0.20654606168421563,LMH,Liver
LUM,0.013360602276730388,-0.11221267592062878,0.11026782620730838,0.8897799190184914,1.0,-0.22248050212793716,-0.09690722393057799,LHL,Female tissue
LYZ,0.16916795704507748,-0.3840589631960408,0.23510463579285376,0.20447123079824125,0.95,-0.6191635989888946,-0.06593667874777628,LHL,
MAP2K7,0.11038249167940449,-0.29612705451671834,0.2618697173320015,0.205814823570191,0.95,-0.5579967718487198,-0.15148722565259698,LHL,
MASP1,-0.1596268108075536,0.36339079492056386,-0.25131103917921394,0.11697296831527597,1.0,0.6147018340997779,0.09168422837166035,HLH,
MASP2,-0.12547802979728567,0.21029244835561103,-0.11533900748133422,0.37029968512694406,1.0,0.32563145583694525,-0.010139022315951457,HML,Liver
MBL2,0.17310884737519613,-0.10778580197922139,-0.03857117402890047,0.639339976944227,0.95,-0.0692146279503209,0.2116800214040966,LMH,Liver
MINPP1,-0.0872085656072282,0.26061273242036753,-0.2660214510336581,0.4462187722667303,0.85,0.5266341834540256,0.1788128854264299,HLH,
