Exp,DNP_mean,DP_mean,DP_vs_DNP,ttest_statistics,ttest_pvalues,ttest_fdr,ranksums_statistics,ranksums_pvalues,ranksums_fdr,DNP_percentage,DP_percentage
queue,72.96774193548387,74.33333333333333,1.0187150014736222,-0.1764778992273215,0.8707129287071292,0.932906709329067,0.3163362675695304,0.7517472858973344,0.8349924027556402,0.5344827586206896,1.0
BMI,24.035720534666666,23.518067934,0.9784631960618757,0.52546891381191,0.6082391760823918,0.7018144339412212,0.15650160901149995,0.8756376510633312,0.9136523379464494,0.5172413793103449,1.0
HGB,137.73584905660377,107.14285714285714,0.7778864970645792,8.553820743881156,9.999000099990002e-05,0.0007499250074992502,4.410626141333837,1.0307214158613011e-05,0.00019326026547399395,0.9137931034482759,0.9333333333333333
RBC,4.798301886792453,3.7128571428571426,0.7737856496851424,6.047976662576664,9.999000099990002e-05,0.0007499250074992502,4.4954458748210255,6.942431663643462e-06,0.00019326026547399395,0.9137931034482759,0.9333333333333333
WBC,4.51943396226415,7.121428571428571,1.575734623160833,-5.1385089759878175,9.999000099990002e-05,0.0007499250074992502,-3.7552009280237386,0.00017320247173924975,0.0012990185380443733,0.9137931034482759,0.9333333333333333
A/G,1.5281250000000002,1.0626666666666664,0.6954055896387182,6.612128293842346,9.999000099990002e-05,0.0007499250074992502,4.857366613368469,1.1895721995553648e-06,8.921791496665235e-05,0.8275862068965517,1.0
ALP,80.60416666666667,187.46666666666667,2.3257689325407083,-4.309381506110547,0.00019998000199980003,0.0013635000136350002,-4.4458621328339305,8.754007880184733e-06,0.00019326026547399395,0.8275862068965517,1.0
CK-MB,1.9004347826086954,0.9093333333333333,0.47848699763593383,4.841865925729141,9.999000099990002e-05,0.0007499250074992502,3.9693425430924862,7.207121307075874e-05,0.0006756676225383632,0.7931034482758621,1.0
FT3,4.7990625,3.252500000000001,0.6777365370840661,6.5127174903776615,9.999000099990002e-05,0.0007499250074992502,4.031904016714684,5.53267842085378e-05,0.000592786973662905,0.5517241379310345,0.8
LDH,188.51063829787233,380.06666666666666,2.0161550037622273,-3.5432095689923226,0.00029997000299970003,0.0018748125187481252,-2.4244755575475616,0.015330515285456849,0.04258476468182458,0.8103448275862069,1.0
PA,265.7659574468085,162.2,0.6103114242254423,5.403594927630034,9.999000099990002e-05,0.0007499250074992502,4.2900889526773796,1.786015670954118e-05,0.00022325195886926472,0.8103448275862069,1.0
GLU,6.0369230769230775,6.8500000000000005,1.134683995922528,-1.9379630715134393,0.0547945205479452,0.1081470800288392,-0.8081516479200642,0.41900328856419855,0.515167977742867,0.4482758620689655,0.9333333333333333
ACTH,16.794736842105266,15.75333333333333,0.9379922699258327,0.3080448512792941,0.7805219478052194,0.8608697953734038,-0.2230544540547985,0.8234931257049768,0.895101223592366,0.3275862068965517,0.8
Cortisol,202.4594736842105,250.7891666666667,1.2387129241372978,-1.3303369304824042,0.19968003199680032,0.3120000499950005,-1.2572160137634099,0.20867542613118106,0.3477923768853018,0.3275862068965517,0.8
CEA,3.059,20.687500000000004,6.762830990519778,-2.4330619407877236,0.018698130186981302,0.04724527547245275,-2.3078316568852544,0.021008501451377965,0.052970553746196684,0.1724137931034483,0.8
CA199,21.13833333333334,115.92583333333333,5.484152014507607,-2.0111151969162866,0.0188981101889811,0.04724527547245275,-2.5980762113533156,0.009374768459434895,0.03056989715033118,0.20689655172413793,0.8
T3,1.764736842105263,1.3283333333333334,0.7527090168008749,3.0260497606592494,0.006199380061993801,0.023247675232476752,2.6969311262989275,0.006998174293442212,0.026243153600408294,0.3275862068965517,0.8
TH,93.75473684210526,69.80166666666666,0.7445134935872245,1.5569419891437901,0.130986901309869,0.2284655255404692,0.567774973957669,0.5701877750903486,0.6787949703456531,0.3275862068965517,0.8
TSH,1.8476315789473687,2.493583333333333,1.3496106917343205,-1.0963537652063131,0.287971202879712,0.4153430810765077,-1.1761053031980284,0.23955279900551052,0.37136711743793915,0.3275862068965517,0.8
FTH,13.744736842105265,9.389999999999999,0.6831705916140147,2.1795814354853773,0.0380961903809619,0.08658225086582251,0.95305084914323,0.34056430760375733,0.44811093105757543,0.3275862068965517,0.8
HCT,40.93214285714286,33.614285714285714,0.8212197888491406,5.564217103257029,9.999000099990002e-05,0.0007499250074992502,3.868845296694861,0.0001093519939344309,0.0009112666161202576,0.4827586206896552,0.9333333333333333
MCV,91.03928571428571,90.67142857142858,0.9959593582048568,0.13974722192776765,0.8885111488851115,0.938568115019484,-0.14674930435739128,0.8833299005976373,0.9136523379464494,0.4827586206896552,0.9333333333333333
MCH,29.717857142857138,28.914285714285718,0.9729599807715422,0.7870230486893357,0.4323567643235676,0.5404459554044595,0.9738817470990513,0.3301152576626222,0.44811093105757543,0.4827586206896552,0.9333333333333333
MCHC,326.17857142857144,318.2857142857143,0.9758020365706777,2.5863215079256414,0.0131986801319868,0.03807311576534654,2.441374790672964,0.014631461104485304,0.042206137801399916,0.4827586206896552,0.9333333333333333
PLT,181.39285714285714,206.5,1.1384130734396536,-1.5337023549059197,0.13688631136886312,0.2333289398332894,-1.9344226483474305,0.0530611840441361,0.12059360010030933,0.4827586206896552,0.9333333333333333
LYMPH%,25.04285714285714,18.185714285714287,0.726183685111238,3.1212976907922987,0.0034996500349965005,0.014581875145818752,2.788236782790434,0.0052995793644188376,0.023380497195965463,0.4827586206896552,0.9333333333333333
MO%,9.764285714285716,8.571428571428571,0.8778346744696414,1.3693159834027195,0.1797820217978202,0.2931228616268808,1.6142423479313042,0.10647486974937026,0.21014776924217812,0.4827586206896552,0.9333333333333333
NE%,61.62142857142856,70.92857142857143,1.1510374405934858,-3.0439665351133884,0.003999600039996,0.01578789489472105,-3.1617804666092484,0.0015680773245202052,0.00904659994915503,0.4827586206896552,0.9333333333333333
EO%,2.964285714285714,1.8357142857142856,0.619277108433735,1.6494380351761955,0.09919008099190081,0.18144527010713565,2.881622703745138,0.003956331574436073,0.01854530425516909,0.4827586206896552,0.9333333333333333
BA%,0.6148148148148148,0.47857142857142854,0.7783993115318416,0.9146697942017654,0.3712628737126287,0.5062675550626756,1.539600717839002,0.12365771040283347,0.22620312878567098,0.46551724137931033,0.9333333333333333
LYMPH#,1.175357142857143,1.1764285714285716,1.000911577028259,-0.00901209073323485,0.9969003099690031,1.0,0.08004507510403161,0.9362014062102828,0.9362014062102828,0.4827586206896552,0.9333333333333333
MO#,0.45285714285714285,0.6021428571428571,1.3296529968454258,-2.490870153760782,0.015298470152984701,0.04097804505263759,-1.5475381186779444,0.12173354007995243,0.22620312878567098,0.4827586206896552,0.9333333333333333
NE#,2.9532142857142847,5.202142857142857,1.7615189261095665,-3.7620500563717116,9.999000099990002e-05,0.0007499250074992502,-3.081735391505217,0.0020579768924570787,0.011024876209591493,0.4827586206896552,0.9333333333333333
EO#,0.13642857142857143,0.10857142857142857,0.7958115183246074,0.8335074555736123,0.4296570342965703,0.5404459554044595,1.600901502080632,0.10939873686399981,0.2103821862769227,0.4827586206896552,0.9333333333333333
BA#,0.027857142857142865,0.03214285714285714,1.1538461538461533,-0.5672950444423757,0.6069393060693931,0.7018144339412212,0.200112687760079,0.8413924506645478,0.9014919114263013,0.4827586206896552,0.9333333333333333
RDW-CV,13.635714285714284,14.849999999999996,1.0890518596123624,-2.2572435335494543,0.031196880311968805,0.07311768823117688,-2.227921257062213,0.025885766392216552,0.06066976498175754,0.4827586206896552,0.9333333333333333
