Protein,Sample1,Sample1,Sample1,Sample1,Sample1,Sample2,Sample2,Sample2,Sample2,Sample2,Sample3,Sample3,Sample3,Sample3,Sample3,Sample4,Sample4,Sample4,Sample4,Sample4,Sample5,Sample5,Sample5,Sample5,Sample5,Sample6,Sample6,Sample6,Sample6,Sample6,Sample7,Sample7,Sample7,Sample7,Sample7,Sample8,Sample8,Sample8,Sample8,Sample8,Sample9,Sample9,Sample9,Sample9,Sample9,Sample10,Sample10,Sample10,Sample10,Sample10
A0A087WSX0,180934,95124.7,61198.7,,73388.2,,,43055.8,,101718,,189696,,,,87897.9,109719,,101180,140080,,,,,,67551.9,133544,194677,91894.6,,,108004,,,,116812,153836,105682,112842,,157635,205141,87685.2,172463,119690,175808,,92784,,
A0A087WSY6,3976510,2910000,4121730,3240570,3114380,4263130,3293710,2850660,3532170,3511070,4105860,2851490,3082310,3758800,2996080,3833360,4253840,3228690,3957310,2636100,4387900,3197150,2747110,3508020,2931070,4095170,3196870,3045560,3206750,4452330,3760860,3385610,2464010,4397370,4544760,3892800,3332230,2985140,2971870,3311030,2555300,2227460,3173860,3482280,3466100,2039180,1976890,1867170,1965610,2047670
A0A087WSZ0,370186,,,691625,,558212,,,667529,,,,1025460,557911,,700793,,770729,425494,737784,610052,882125,836593,730275,596493,681852,867437,,756682,742584,,798692,464711,925203,610274,,738390,749805,,439468,,976302,,,,,,,,
A0A0A0MRZ8,,,351004,,,,,,304606,300464,297431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0A0A0MS15,3564380,3140470,3056870,2966890,3087890,2921040,3250630,2938640,2784200,3386100,3205640,2795150,3162360,3845590,2831080,2754910,1982140,1657050,2809260,2070640,1920610,3130870,2111130,2127270,1839860,1658040,1735050,2245030,1896080,2452440,2076390,1890560,2022880,1988710,1982830,1837700,1974320,1804650,2200240,2124160,,,,,,,,,,
A0A0A0MT36,,,156691,,228347,184805,,,,210834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0A0B4J1U3,1465160,1202990,1061390,1247320,1012570,1660830,692474,1686920,698354,1438330,1087400,1570460,1357230,1659030,1395970,880200,2052530,1682510,2289630,2278200,1564010,1680600,1530680,1666160,1918540,1668160,1567060,1496740,1754400,1748680,1906870,769294,1807150,1563000,1772840,1539490,1824030,1802420,2242350,1815370,2589450,1966230,1877620,1849140,2571550,812209,972831,2607400,1543690,2010220
A0A0B4J1U7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,521798,,518608,497375,,,,,,,,,,,,,,
A0A0B4J1V0,,,,,,,1528560,,,,,,,,,,,,,,,,,1469060,,,,,,,,,,,,,,,,,,,,,,,,,,
A0A0B4J1V1,34286900,35478400,46078600,26146200,26753700,33975500,47705400,40621200,27401800,37196800,30956400,38373800,43857200,37103800,31479300,21211200,28889600,41165100,32907200,18066000,37266400,33489400,31269800,36162700,28986100,31984700,38598400,42908700,51084300,31395000,40413500,33799500,41499900,35017200,36097100,35042100,39711300,35137000,39052600,29407600,33924600,28421900,39733000,29931900,31685900,23995400,18727800,19152600,22267400,18563800
A0A0B4J1V2,,,811287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,820142,,,,,,
