Protein,Sample1,Sample1,Sample1,Sample1,Sample1,Sample2,Sample2,Sample2,Sample2,Sample2,Sample3,Sample3,Sample3,Sample3,Sample3,Sample4,Sample4,Sample4,Sample4,Sample4,Sample5,Sample5,Sample5,Sample5,Sample5,Sample6,Sample6,Sample6,Sample6,Sample6,Sample7,Sample7,Sample7,Sample7,Sample7,Sample8,Sample8,Sample8,Sample8,Sample8,Sample9,Sample9,Sample9,Sample9,Sample9,Sample10,Sample10,Sample10,Sample10,Sample10
O43809,,,3572270,,,,,,,,,,,,,,,,,,,,,,,,,,,,3616740,,,,,,,,,3546320,,,,,,,,,,
O43813,,,,,,,,,,,,,,,,,,,8504110,,,,8663750,,,,,,,,,,,,,,,,,,,,,,,,,,,
O43815,,,,,,,,,,,,,,,,,,,,,,,,,,1462110,,,,,,,,,,,,,1590760,,,,,,,,,,,
O43818,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52457.2,,,,,,,,,
O43824,,387110,579163,,840280,,436924,,,,599837,1847910,,,,,,,,712305,,582622,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O43837,,,,,,,52552.8,,,,420133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O43847,,,,905404,,,,,,,,956154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O43852,,,,,,,,,,241585,240831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O43854,,,,398477,,,,326897,,,,,,,,617529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O43865,,,,,,,,,,,,,,502964,493031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O43866,12091900,10783100,12138500,13384800,11690000,13136600,15102200,15138200,5796340,14262600,9534350,10092500,9695980,10139300,9424010,9838750,10082200,10798900,8693440,10238900,8043280,8041390,7241070,7757510,7759190,9765770,10209700,8912510,9299720,9340670,8880120,9103840,8313790,9626540,9531400,8688030,3422300,8358800,9058510,8510670,11805500,13516100,12595700,11664300,13326800,9112030,8902050,9584520,9920460,8683470
O43895,,,,,,,,,,,,,,,,,,,,,,2004150,,,,,,,,,2061780,,,,,,,,,,,,,,,,,,,
O43896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133626,,,,,,,,121093,,
O43933,,,,,,,1494320,,,,,,1570680,,,,,,,,1198550,,,,,,,,,,,,,,,,,,,,,,,,,,1302050,,,1523440
O60216,,,,,,,,,,,,,,,,1033630,,,,,,,,,,,,,,,,,1066720,,,,,,,,,,,,,,,,,
O60218,,,,,90269.6,,,,,,,,,86098.5,,,,,,86670.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O60229,,,,363272,,580232,680598,494904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,632788,,,
O60231,,,,,,,,,,,,,,,94723.7,,,92484.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O60234,,,,,,,21796.6,,,,47305,45333,,79517.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O60237,,2273620,1084740,1101650,,2504750,,,,,2327160,,595495,1145200,709412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O60242,1962200,1028480,1555100,1602770,1031530,1567600,1177780,1460770,1656770,1712810,1477220,1911360,1243780,1858790,1632280,1630660,1481040,1101610,1887990,1126010,1544590,2610910,2897590,1654800,2370450,2018130,1409080,2202580,1302720,2776180,2585480,2545690,2216640,1770920,2861180,3164210,3723880,1579820,3487180,1883650,3625290,1939100,1334370,2699600,3051910,858121,793094,871583,857824,844137
O60244,,,548566,615850,,,,,,,,,,,,,,,,,,,,,,,369585,,,,,,,,,,,1013940,,,,,,,,,,,,
O60256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182768,,,,,193897,
O60264,,,,,,,,,,,,,,,,,100868,,,,,,,,,,,,,,,,,97100.3,,,,,,,,,,,,,,,,
O60268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2611090,1879750,,,,,
O60271,,,,,,,,,,,1413890,,,,,,,,,,,1353410,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O60279,,,,,,,,,,,,,,,,,,,229597,,,,,,,,206744,,,,,,,,,,,,,,,,73882.8,,,,,,,
O60282,,,,,,,1081520,,,,,,,,,,,,,,,,,1233110,,,,,,,,,,,,,,,,,,,,,,,,,,
O60285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2620630,,,2290360,,,,742114,,,,,,,,,,,,,,
O60287,,,,,,,,,,,,,,,,258522,,134950,,,,,104659,330830,,,,,,,,,,,,,,,,,,,,,,,,,,
O60291,,,,,,,,299342,,,,,659795,,97757.7,,,,,,,,615628,,,623631,,,,,,,,,,,,,,,,,,,,,,,,
O60306,,,,,,,,,,,,,,,,,,845744,,877163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O60307,,,,,,,,,,,,,,,,,,,,,,,,364077,,,,,,,,,,,134948,,,,,,,,,,,,,,,
O60313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207898,,,,230518,,,,,,,,,,,,,,,
O60315,,,,,,,,,,,,,,,,,,,479888,,,,,,,,,,,,,,,702448,,,,,,,,,678757,,,,,,,
O60333,,,,,,,,,,,,409334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174283,,,,,,,,,
O60341,,,,,,,,,,,,,,,,,,,,,,,,,674809,,,,,,,,,,,,,745339,,,,,,,,,,,,
O60343,,484173,,,,,580292,,536726,692878,,,391371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O60353,,447526,,,,,,487655,517826,,,,,,355524,,,,,,,,,,,,,,,231492,,,,,,,,,,,,,,,,,,,,
O60361,,,,,,,,,,,,,,,,,,,,,,,,,,,,312612,,,,272475,,,,,,395343,,,,,,,,,,,,
O60427,,441145,,,,,,,,,,,,,,,498206,,,,,371654,,,,,,,,,,276915,,,,,,359383,,,,,,,,,,,,
O60437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1027060,,1037510
O60443,,,,,,,,,2189350,,,1538770,,,1461220,,,,,,,,,,2392240,,,,2672580,,,,,,,,2349850,,,2674290,,2139730,2279570,,,,,,,
O60449,,,,,,,,,,,,,,,,139406,,,,,,,,,,,,,,,,,,,,98810.8,,,,126266,,,,,,,,,,
O60462,,,,,,,124463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106945,,,,,,,,,,,
O60477,,,,,,,,,84429.1,,,,,,325577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271660,,,
O60486,,,,,,,,,,,,,,,,,1068400,,913091,,1256050,,,,573072,,1543800,,,,,,,,,,,,,,476242,,,,,,,,,
O60488,,,,,,,,,,,1281190,,,,,,,,,,,,,,,,,,1731820,,,,,,,,,,,,,,,,,,,,,
O60493,,,,,,,,,,,,,,,,,,,,,,,,,1996890,,,,,,,,,,,,,,,,,2188020,,,,,,,,
O60494,,,1152720,1505390,,,,956358,3191080,3686300,,,1061780,,1372130,2798150,,,1430550,,1441970,2470640,,1586920,1298520,,717240,,1056820,1551160,,,,2057690,655508,2296110,2418730,1790650,1571650,2432340,,1629040,,,,,,,,
O60496,,,,,,,,,,,,,,,,,,,340647,,,,,,,,,,,0,,,,,299132,,,302928,,,,,,,,,,,,
O60500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,775421,,,,,,,,,,,,,,,,,,,296190,
O60502,,,,,,,,2627990,,,2424420,,,,,,,,,,,,,,,,,,,,,2165490,,,,,,,,,,,,,,,,,,
O60504,,,,,,480667,,,,,,,,,,,,,529229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O60506,,,,,,,,,,,,,,,,,,,,,,,,2236300,,,,2261670,,,,,,1752850,,,,,,,,,,,,,,,,
O60508,,,,,,,,,,,,,,,,,,,,,973199,,979132,,,,,,,,,,,,,,,,,,,,,,,,,,,
O60518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,470528,512495,,,,,,,
O60547,,,,,,1491900,,,,,,,,,,,,,,,,,,,,,,,,,1736470,,,,,,,,,,,,,,,,,,,
O60551,,,,,,,,,,,,,5969550,,,,,,,,,,,,,,,,,,,,,,,,,5531080,,,,,,,,,,,,
O60565,,,,,,,,,,,,,,,,,,,,,291168,,,,,,,,,,,,,,,,,,641318,,,,,,,,,,,
O60566,59612000,31464300,15833300,56884800,1520420,1685330,46706600,1718360,42371500,1510500,1787280,53963200,30386200,57083300,55794100,37958500,34196200,21023400,1731040,55837500,64946700,2554570,37427500,2398010,53692000,27852300,68543500,934690,1956960,17018300,48114800,26054600,46395600,60238900,1272780,41212000,32046000,2300160,30194000,72173600,83042200,60675100,46615700,17786400,2390100,1539060,74310200,2972020,23192900,2836220
O60568,,,559833,,,,,,,,,,,,611492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O60603,,,,,,,,,,,,,,474097,,,,,,,,,,,,,434703,,,,,,,,,,,,,,,,,,,,452153,,,
O60610,,,,,,,,,,,,,,898068,,,,,,,,913276,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O60641,,,,,,,,,,,,,,,,,,,,,,,,,,,1535250,,,,,,,,,,,,,1478470,,,,,,,,,,
O60645,8812600,8197110,,,8778560,,,,,,,,,,,9054240,,,8011440,9345210,9494750,8026990,,,8535180,9231220,8995370,7985760,8039470,5477620,9086120,8369430,8260960,8806770,8351620,8694140,,,8299650,,,8359880,,,,,7948560,7921450,8843020,8286130
O60664,,111798,,,,,,,,,,,,,,,,,,,,,,101886,,,,,,,,,,,,,,,,,,,,,,,,,,
O60667,,,,,,,,,,,,,309438,,,,,742637,,,,,,,162035,1221950,,,,,,,,,,,,,,,,,,,,,,,,
O60678,,,,,,,,,,,,,,,,,,,,,260133,,,,,,,,,342865,,,,,,,,,,,,,,,,,,,,
O60684,,,,,,,2696290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4079130,,814882,,,,6923770,,,,,,,,
O60687,,,,,,,,,,,,,,,,,,624426,,,,,,474694,,,,,,,,,,,,,,,,,,,,,,,,,,
O60701,,,,,,,,,,,,,,,,,,,,,211859,,,214119,,,,,,,,,,,,,,,,,,,,,,,,,,
O60704,,,,,,,,,,,,,,,857825,,1007960,968668,,,,,,,518408,,,,,,,,,,,,,,283849,,,,,,,,,792211,,
O60711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104804,,,,,,103203,,,,,,,,,,,,,,
O60716,,,,,,,,,,,,,,,,,,,,,,,291054,,320538,,,,,,,,,,,,,,,,,,,,,,,,,
O60732,,,85194.7,142897,88442.9,,169256,,,187482,216962,254892,,316357,,,,,212159,,,215143,,,210214,72714,89789.9,,,,,,140168,,,,,,,,205552,191270,129384,198395,218460,227667,,,,174561
O60739,,,,,,,,,,,,,,,,,,,,,412058,,,,208798,,,,,,,,,,,,,,,,,,,,,,,,,
O60749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,792418,,,,,701184,,,,,,,
O60762,,,,,,,,,,,,,,,,,,,,,,,329476,,,,,,,,,,,,,,,,,371269,,,,,,,,,,
O60763,502936,598499,,491948,,,,,774112,,384753,,659090,,,688400,795178,,,592775,889808,,,,,,,497568,,,,,253597,,,818713,,681863,,,,439083,,,854058,,885526,,,
O60784,,,,,,878332,,,978944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O60814,,334469,,,,,,,,,,,,337295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O60825,,,,634815,,,,,,,,,,,,,,,,,,,,,,,,,624389,,,,,,,,,,,,,,,,,,,,,
O60826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2619380,2750720,,,,,,
O60831,,,,,,,,,,,,,,,,,,,,1491060,,,,,,,,2335260,,,,,,,,1560780,,,,,2394480,,,,,,,2034310,1486330,
O60832,,,,,,,,,,,,,,,,,,,,,,799508,,,,,,,384428,,,,,,,,,,,,,,,,,,,,,
O60841,,,6015110,6767990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O60870,,,,,,,,,,,,,,,,,1412490,,,,,,,,,,,,,,,,,,,1491830,,,,,,,,,,,,,,
O60879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298115,,,,252958,,,,,,,,,,
O60883,,,,,,,,,,,,2722650,,,,,,,,2614550,,,,2362280,,2818500,,,4072070,,,,3365970,2808580,,,,2298760,,,2089000,2096980,,,,,,,,
O60884,,,320931,,,,,268246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O60885,,,,,,,,,,,,,,,,,,,,,,,,,,681766,,,,,,,,,,,,,,,685342,,,,650960,,,,,
O60888,,,,,,,,,,,,,,,,,,188295,,,,,,,,,,,,,,,,,171780,,,,,,,,,,,,,,,
O60890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341813,635724,,,,,,,,
O60907,,,,,,,432490,,,,,,,,,,,,,,,,,,,,,,469267,,,,,,,,,,,,,,,,,,,,,
O60911,3009310,2356450,2594920,2237280,2168690,3850530,3126030,3289980,3461820,3306480,0,2941140,2866630,2627250,2832170,4623930,4211190,4308240,5022130,0,4758400,4611990,4013860,3603420,4065280,3769940,3523000,3963530,3926130,3769390,511194,4008580,5364670,3955260,4184650,5133040,4289140,4645190,3734530,,3634690,3575480,,2840270,3322890,1748680,0,1770000,1616640,1743890
O60925,,,,,,,,,,,,,,,46758.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44223.3,,
O60934,682003,,,823163,903396,,,,,,1864680,,2036750,1957340,,679188,,,,1378130,1418510,,1672490,1094570,,,758975,,,,,,,,,1550590,,,,,2520760,,3639290,4195790,,2908360,2650300,2608090,,
O60936,,,,,,,,,,,,,,,,,,,,,,,,,,861918,,,,,,,929430,,,,,1099840,,,,,,,,,,,,
O60941,,,,6710690,,,,,,,,,,,,,,,,,,,,,,,,7818920,,,,,,,,,,,,,,,,,,,,,,
O75015,,,,,56900.5,,,,58409,,,63391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46114.4,54202.1,,57938.7,50688.2,,61627.1,46032.5,53438.3
O75022,,,,,,,,,,,,,,,,,,,,,365768,,,,,,,,155149,,,,,,,,,,,,,,,,,,,117565,,
O75027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162953,,80667.8
O75037,,,,,,,,,,,,,,,,,,1740830,,2156220,,,,2080760,,,,1496940,1176350,,1776500,,,1333230,686042,1723920,,,,,,,,,,,,,,
O75044,,,,,,,,,,,,,,,,,,,,,,,,,415735,,,,,467182,,,,,,,,,,,,,,,,,,,,
O75051,,,,,,,,,,,,,,,,,,,,,,,,,,,1150130,,,,,,,,,,,,,,978114,,,,,,,,,
O75061,,,,,,,,,,,,,,,,,,,,2185050,,,,,,,,,,,,,,,,,,,,,2666410,,,,,,,,,
O75063,,,,,,,,,,,,,,155519,,97294.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O75071,,,,,,,,,,,,,,,,,,,,,,,,,,,19170600,,,,,,,,,,,,,,,,2905020,,,,,,,
O75083,,,,,,,,,,,,,,,,,,,,,,,,,,733546,,,,,,,,,,,,,,,,,,,740342,,,,,
O75096,,,,151591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172637,,,,,,,
O75106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153714,,,,,,,,,,,,,139961,,,,
O75112,,,,,,,,,,,,,,,,,,,,,,,,,,,,4494741.5,,,,,,,,,253648.8,,,,,,,,,,,,,
O75113,,,,,,,,1286820,1498060,,,,,,,,,,323750,,1638560,462222,1738690,,,1247570,,,1386890,,,1544590,1420120,,1526290,,,,643248,1668030,,,1709340,,,1359950,,,,
O75116,,,,,,,,,,,,,,,417938,,,417566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O75122,,,,,,,,,,,,,,,,,,,299762,,,,,,,,,,324889,,,,,,,,,,,,,,,,,,,,,
O75127,,,,,,,631854,,,,,,,,,,554854,,,,,584550,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O75131,,,,,1253930,,,1383720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O75140,,,,,,,204772,,,,,,,,110986,,,,,311772,,,,,,,,,,,,,,,,,103102,80865.8,,,,,57096.5,,,,,,,
O75143,,,,,,,,,,,,,,,,,,,,,,,,,,639745,,,,,,609569,,,,,905851,,734740,,,,,,,,,,,
O75144,112664,84612.1,143965,112625,96389.8,111823,146338,139405,165794,129057,91985.1,128286,127293,155608,127267,168075,150487,119101,157782,131336,143527,115479,169476,177938,100342,116065,,73628.7,106031,154346,137423,,125904,196460,168230,168582,106867,,97562.3,148883,84498,118704,,71209.4,60577.6,147267,139163,152689,130005,138736
O75145,,,,,,,,,,,,,,,,,,,,,,,,,,105201,,,,,,,81330.1,,,,,,,,,,,,,,,,,
O75146,,,,,,,302324,,,,,,,,,,,,,,,,,,,,,303235,,,,,,,,,,,,,,,,,,,,,,
O75150,,,,,,,,,,,,,,,,,,,,,,,,,,,,8332480,,,,,8863300,,,,,,,,,,,,,,,,,
O75151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,843360,,,916856,
O75152,,,,,,,,,,,,,,,,,159231,,,,,,,,,,,,,,,,,144513,,,,,,,,,,,,,,,,
O75153,,,,,,,,,,,,,,,,,,,,,,741807,,,715112,,,,,,,,,,,,,,,,,,,,,,,,,
O75154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,545827,,560945,
O75155,,,,,,,,,,,,,,,,,,,,,,,131418,,116251,,,,,,,,,,,,,,,,,,,,,,,,,
O75157,,,,,,,987495,,2037740,,,,,,,,,,,,,,,,2316930,,,,1843490,,,,,,,,,,,,,,,,,,,,,
O75165,,,,,,,,,,138781,,,,,,,,,,,,,,,,,,,,,,,,,136586,,,,,,,,,,,,,,,
O75175,,2558530,2504740,,,,,,,,,,,,,,,,,,,2849080,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O75179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1227810,1225260,,,,,,,,,,,
O75182,,,319703,,,,,,,,,,,,,,,641175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O75190,3083600,3163160,,3260320,,,,3309750,4074070,3349620,,,,,4070690,,3430950,2760920,3095930,2397680,,1904300,1892700,1598670,,,,1098120,900794,2586660,,,,1620450,,,,2480920,,,2539020,2618590,2078670,,,3012800,3487750,3127340,,3528170
O75191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286350,,,235688
O75208,,,,,,,,,,,,,,,,,,,,,106720,,,,,,109385,,,,,,,,,,,,,,,,,,,,,,,
O75223,,,,,110144,,,,,,,,,,,,,,,,,,,,,,108649,,,,,,,,,,,,,,,,,,,,,,,
O75298,,387222,,,,,,425382,,,558809,463228,,,431153,,,,,,,,446514,422934,,,,,,397179,,,,,,,,,,,,,,,,,,,,
O75306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,459711,459458,,,,,,,,,,,,,,,,
O75310,,,,,,,,,,,,,,,,258055,,,,,118281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O75312,,,,,,,,,139860,,,,,,,190457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O75323,,,,,,,,,,,,2199020,,,,,,,,,,,,,,,,,,,,3303820,,,4471660,,,,,,,,,,,,,,,
O75326,,,,,,2515870,,3526618,2530730,,252399,,,844649,,,,,,164422,,3074098,3296529,1107780,2407890,,,,,,,,,,,249429,,,,1326080,,883843,,847899,949912,,1433042,578511,,
O75330,,,,,,,,,,,,,,,,,,,,,,,,,1885380,1917480,,,,,,,,,,,,,,2623610,,,,,,,,,,
O75334,,,,,,,,,,,,,,,,,,,,,,,,,,,584837,,,,,,,,,,662001,,,,,,,,,,,,,
O75339,,,,,,,,,,,,,,,,,,,,,,292786,,,,,,,,,,,,,259154,,,,,,,,,,,,,,,
O75340,,,,,,,,,,,,,,,,,,,585077,,,,,,628134,,,,,,,,,,,,,,,,,,,,,,,,,
O75342,,,345643,,,,,,305265,,1191920,,,,,,,,781195,,,,359564,818867,,,,353911,,,,,,340610,,,,,,,,,1004150,912307,,,,,,
O75347,,,,,,,,,3811320,,,,,3504190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3625520,,,,,,
O75351,,,,,112172,,,,,,,,,,,,,,,,,,,,110935,,,,,,,,,,,,,,,,,,,,,,,,,
O75355,,716179,,,,,,,,,,,,,,314659,,,,,,,,,,,,,,,,,,,,,,,181608,,,,610206,,206404,,,,,
O75356,,,,,,,,,,,,,,,,,,,,,,,,,,84891.4,,,,,,,,,50568.8,,,,,,,,,,,,,,,
O75363,,,683606,,,,,,,,,,,,,,,,,,,,,,634398,,,,,,,,,,,,,,,318851,,,,472885,,,,,,
O75366,,,,,,,,,,,,,,,,,,,,,,,,295575,,,,,,,,,,,,,,,,,,800571,,1327340,1264970,1318630,,,,1035070
O75367,,,,,,,,,,,,,,,,,,,,,,2234950,,,,,2232750,,,,,,,,,,,,,,,,,,,,,,,
O75368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,543518,,,,,,,347110
O75369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4173270,,,,,,,4074290,
O75379,,,,,,,,,,,,,,,,,692749,,,,,917438,748575,,,928802,,,,,,,894919,854271,,,,,,,,,565248,,389523,,,,,
O75380,,,,,,,,,,,,,,,,,,,,,,,,,710050,,,,,,,,,,,,,,,,,686957,,,,,,,,
O75382,,,813611,,,,,,,,,,,,,,,,,,,,932348,,,,,,,,,,,,,,,,,,,,,,,,,,,
O75387,601923,,,,,,,,,,,,,,,,,,,,2543310,,,,,,,,,,,,,,,,,,,,,726698,,,,,792292,,,
O75390,5870780,,,,,,,,,,,6207430,5624940,,,,,,,,,,,,,,,,5905990,,,,,,,,,,,,,,,,,,,,,
O75391,,4770030,,,,,,,,4132310,,,1686420,,,,,,,,,,,,,,,,,3210050,,6012720,,,5750900,5148500,,,,,,,,,,,,,,275189
O75396,,,,,,,,,,,,,,,,,,,,,,,,,,808460,,,,,,,,,,,,,,,836436,,,,,,,,,
O75414,,,,,,,,,,,,,,,,,,,,,,,,,,,,154967,,,,,,,,168050,,,,,,,,,,,,,,
O75419,,,,,,,,,,,,,,,237185,,,,,,,,,,,,,190565,,,,,,,,,,,,,,,,,,,,,,
O75436,,,,,,,,,,,,,,,,,,1454160,,,,,,,,,,,,,,,,,1272540,,,,,,,,,,,,,,,
O75439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41401.9,,,,45298.5,
O75448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306630,,,386486,,,,,,
O75449,,,,,,,,,,,,,,,,,,,,,368908,271414,,,,,,,,,,,,,237729,,,,,,,,,,,,,,,
O75475,,,,,,,,,,,,,,,,,,,,866975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,972803
O75477,,,,,,,,,,,,,,,,,,,,,,,,,,3758080,,,,,,,,,,,,,,,,,,,2667240,,,,,
O75487,,,,2706932,,2257636,4639490.2,,5828175,3245600,2409798,1124560,4524250,6139990,4782100,,4621015,,6296641,8186115,5226458,,13910455,,,,6933947,,,,,,,,,,,12072455,8273590,3918860,,,6487955,4430738.2,792096.4,,,,,3008490
O75489,,,,,,,2105900,,,,,,,,,1919380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O75494,,,,734280,703860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O75503,,40564.8,,,44550.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O75506,,,,,,,,,,,,,,,,,,,,,,,,,,,2704010,,,,,,1719620,,,955854,,,,,,,,,,,,,,
O75509,,3474310,,,,,,4171200,,,,,,,,,,,,,,,1522160,,,,,,,2937920,,,,,,,,,,,,,,2475870,,,,,,
O75521,,,,,,,,609321,,820281,,,,,,,,,,,,,,,,,,,,,,,,,,1039530,1480580,,,1548280,,,,,,,,,,
O75525,,,,,,,,,,724952,,,,,,,,,,,,666454,,,,,,,,,,,,,,,,,,620512,,,,,,,,922931,,
O75526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,591189,605769,,,,,,,,,,,,,,,,,
O75529,,,,,,,,,,2212700,,,,,,,,,,,,,,,2136030,,,,,,,,,,,,,,,,,,,,,,,,,
O75530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206438,,,,230206,,,,,,,,,
O75531,,,,,,,,,,,,,,,1955640,,,,,,,,,,,,,,,,,,,,,,3841560,,,,,,3234780,,3613510,6004320,5545130,,,
O75533,,,,,,,,,,,,,,,,,13503200,,,,,,,,,,,,,,,,,,,,,,,,,,,,13997500,,,,,
O75534,,,,,,,,,,,,,,,,,,,,,,,,,,,,604811,,,,,,,612302,,,,,,,,,,,,,,,
O75554,,,,,,,121919,,,,,,,,,,,,,,,,,,,,,,,204056,,,,,,,,,,,,457721,290159,,,,,,,
O75558,,,,,,,,,,,,,,,,754318,1885510,,,,,,,0,,,,1503000,721483,,,,,931402,,0,,,,,,,,523975,,,,738051,,702084
O75563,,,,,2823050,2989640,1322940,2799540,,3048260,2492440,,,,2496860,2047640,3264460,3259960,3040980,3217860,3328740,3316140,3146730,3343820,,3177450,3370010,3600840,3431170,3423160,3478800,,,2707610,2953620,3325890,3392670,3095380,3061440,3192920,2754590,3458690,,3399920,,2601280,2557470,0,,
O75569,,,,3506190,4125420,6111420,,,,6129520,,4689280,5032860,,,,,7457160,,,,,,5221830,,,,4159990,,,,,7674180,,,,,,,6477270,3191840,5058140,3019750,,,,,,,
O75581,,,,,,,,,,,,,,,,,,,279692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268768,,
O75582,,,,,,,,,,,,,,,,,,,,,,,,,,,1879140,,1313040,,,,,,,,,,,,,699027,,,638676,,,,,
O75592,,,,,105962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122997,,,,,,,,,,,,,,,,
O75594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,537824,,,,,,,,,,,270063,,,,,,,
O75607,,,,,,75852.2,,,,,,,,,,131515,,,,1344690,,,,241913,,1133020,,798253,,,,,,,,,,,,,,,,,,,,,,
O75608,,,,,,,,,,,,,,,,,,,,2009740,,,,,,,,,,,,,,,,,,,511067,,,,,,,,,,,
O75628,,,690831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456196,,,,,,,,,,,,
O75636,466979,472006,454016,475151,406824,386318,561894,342488,386251,373519,336833,506221,454558,486652,495760,818918,996582,761013,1059582,1040784,680891,681314,500113,656781,550509,966483,1002946,1088778,844173,794886,670730,799615,706602,694537,732345,603574,693512,689732,503007,592525,416862,434509,258107.4,552535,265823.4,361453.5,453951,384270.8,278202.9,405865
O75643,,,,,,,,,,507606,,,,,,,,,,,,,,,505428,,,,,,,,,,,,,,,,,,,,,,,,,
O75648,,,,,,,,,,,,,,,,,,,,,,,,,,386902,,,,,,270635,,,,,,,,,,,,,,,,,,
O75663,,,,,,,,,,,,,,,,,,,,,,265987,,,,,,,,,,,274987,,,,,,,,,,,,,,,,,
